Region,X,Y
6,63,652
6,63,655
6,62,656
6,62,660
6,61,661
6,61,666
6,60,667
6,60,668
6,59,669
6,59,670
6,56,673
6,53,673
6,52,674
6,52,676
6,51,677
6,51,679
6,50,680
6,50,681
6,47,684
6,47,685
6,45,687
6,45,688
6,44,689
6,44,691
6,43,692
6,43,694
6,42,695
6,42,697
6,41,698
6,41,699
6,40,700
6,40,702
6,39,703
6,39,705
6,38,706
6,38,709
6,37,710
6,37,713
6,36,714
6,36,717
6,35,718
6,35,719
6,34,720
6,34,722
6,33,723
6,33,725
6,32,726
6,32,732
6,31,733
6,31,738
6,30,739
6,30,745
7,30,431
7,30,435
7,33,438
7,33,439
7,38,439
7,40,437
7,40,436
7,41,435
7,41,434
7,42,433
7,42,431
7,43,430
7,43,429
7,45,427
7,46,427
7,47,428
7,57,428
7,58,427
7,58,426
7,60,424
7,61,424
7,62,423
7,72,423
7,74,421
7,74,420
7,75,419
7,76,419
7,79,416
7,80,416
7,82,414
7,83,414
7,84,413
7,85,413
7,86,412
7,88,412
7,88,411
7,92,407
7,93,407
7,96,404
7,96,403
7,100,399
7,100,398
7,102,396
7,103,396
7,104,395
7,105,395
7,106,394
7,110,394
7,111,395
7,112,395
7,113,396
7,113,401
7,114,402
7,114,404
7,115,405
7,115,406
7,116,406
7,118,408
7,118,410
7,117,411
7,117,413
7,116,414
7,116,417
7,115,418
7,115,419
7,114,420
7,114,422
7,113,423
7,113,427
7,112,428
7,112,430
7,111,431
7,111,433
7,110,434
7,110,436
7,109,437
7,109,438
7,108,439
7,108,440
7,107,441
7,107,443
7,106,444
7,106,463
7,110,463
7,110,449
7,111,448
7,111,446
7,112,445
7,112,443
7,113,442
7,113,441
7,114,440
7,114,439
7,115,438
7,115,436
7,116,435
7,116,432
7,117,431
7,117,427
7,118,426
7,118,424
7,119,423
7,119,422
7,120,421
7,120,418
7,121,417
7,121,415
7,122,414
7,122,403
7,121,403
7,118,400
7,118,398
7,117,397
7,118,396
7,123,396
7,123,392
7,122,392
7,121,391
7,121,389
7,123,387
7,125,387
7,127,385
7,128,386
7,128,390
7,130,392
7,131,392
7,133,394
7,133,403
7,134,404
7,134,405
7,133,406
7,133,408
7,132,409
7,132,411
7,131,412
7,131,414
7,130,415
7,130,416
7,129,417
7,129,419
7,128,420
7,128,421
7,127,422
7,127,424
7,126,425
7,126,440
7,125,441
7,125,442
7,124,443
7,124,445
7,123,446
7,123,448
7,122,449
7,122,454
7,121,455
7,121,463
7,125,463
7,125,460
7,126,459
7,126,454
7,127,453
7,127,451
7,128,450
7,128,448
7,129,447
7,129,445
7,130,444
7,130,429
7,131,428
7,131,427
7,132,426
7,132,425
7,133,424
7,133,422
7,134,421
7,134,419
7,135,418
7,135,417
7,136,416
7,136,414
7,137,413
7,137,410
7,138,409
7,138,400
7,137,399
7,137,398
7,138,397
7,138,390
7,136,388
7,135,388
7,133,386
7,133,385
7,137,381
7,137,380
7,140,377
7,141,377
7,142,376
7,144,376
7,145,375
7,146,375
7,148,373
7,148,372
7,149,371
7,149,370
7,153,366
7,153,365
7,154,364
7,154,360
7,150,360
7,146,364
7,146,365
7,145,366
7,145,367
7,140,372
7,137,372
7,135,374
7,134,374
7,133,375
7,133,376
7,129,380
7,125,380
7,124,381
7,123,381
7,121,383
7,118,383
7,118,384
7,115,387
7,115,389
7,114,390
7,102,390
7,101,391
7,99,391
7,98,392
7,97,392
7,96,393
7,96,394
7,93,397
7,93,398
7,88,403
7,87,403
7,81,409
7,79,409
7,78,410
7,77,410
7,74,413
7,73,413
7,71,415
7,69,415
7,69,417
7,67,419
7,57,419
7,56,420
7,55,420
7,54,421
7,54,422
7,52,424
7,51,423
7,49,423
7,48,422
7,43,422
7,42,423
7,41,423
7,40,424
7,38,424
7,38,428
7,36,430
7,36,431
7,35,432
7,34,431
8,58,1124
8,58,1132
8,59,1133
8,69,1133
8,70,1132
8,76,1132
8,77,1131
8,80,1131
8,81,1130
8,83,1130
8,84,1131
8,86,1131
8,88,1133
8,88,1134
8,89,1135
8,88,1136
8,86,1136
8,85,1137
8,84,1137
8,83,1138
8,82,1138
8,81,1139
8,79,1139
8,78,1140
8,76,1140
8,75,1141
8,71,1141
8,70,1142
8,69,1142
8,68,1143
8,68,1144
8,67,1145
8,67,1150
8,68,1151
8,68,1153
8,69,1154
8,69,1159
8,70,1160
8,70,1161
8,71,1162
8,71,1163
8,72,1163
8,73,1164
8,76,1164
8,77,1165
8,85,1165
8,87,1163
8,87,1156
8,86,1155
8,82,1155
8,80,1153
8,80,1151
8,81,1150
8,83,1150
8,84,1149
8,86,1149
8,87,1148
8,88,1148
8,89,1147
8,91,1147
8,92,1146
8,94,1146
8,94,1142
8,91,1142
8,90,1141
8,91,1140
8,91,1138
8,92,1137
8,97,1137
8,98,1136
8,99,1136
8,100,1135
8,106,1135
8,107,1134
8,107,1123
8,105,1121
8,105,1120
8,96,1120
8,95,1121
8,94,1121
8,93,1120
8,93,1119
8,92,1118
8,91,1118
8,90,1117
8,90,1116
8,88,1114
8,88,1111
8,87,1110
8,87,1109
8,86,1108
8,86,1107
8,84,1105
8,84,1104
8,81,1101
8,81,1100
8,80,1099
8,80,1098
8,79,1097
8,79,1096
8,78,1095
8,78,1093
8,76,1091
8,70,1091
8,68,1093
8,68,1099
8,69,1100
8,69,1102
8,70,1103
8,70,1104
8,71,1105
8,71,1106
8,72,1107
8,72,1112
8,77,1117
8,78,1117
8,79,1118
8,78,1119
8,77,1119
8,76,1120
8,72,1120
8,71,1121
8,68,1121
8,67,1122
8,63,1122
8,62,1123
8,59,1123
9,96,1165
9,96,1169
9,97,1170
9,97,1173
9,99,1175
9,104,1175
9,105,1176
9,106,1176
9,113,1183
9,114,1183
9,115,1184
9,116,1184
9,122,1190
9,123,1190
9,125,1192
9,125,1193
9,128,1196
9,129,1196
9,140,1207
9,140,1208
9,142,1210
9,142,1214
9,141,1215
9,141,1219
9,143,1221
9,143,1222
9,144,1223
9,144,1224
9,145,1225
9,145,1226
9,146,1227
9,146,1229
9,147,1230
9,147,1231
9,151,1235
9,151,1237
9,152,1238
9,152,1241
9,153,1242
9,153,1250
9,154,1251
9,154,1253
9,155,1254
9,155,1267
9,156,1268
9,156,1271
9,157,1272
9,157,1274
9,158,1275
9,158,1276
9,159,1277
9,159,1278
9,161,1280
9,161,1281
9,162,1282
9,162,1283
9,163,1284
9,163,1285
9,164,1286
9,172,1286
9,173,1285
9,173,1279
9,171,1277
9,171,1275
9,170,1274
9,170,1273
9,169,1272
9,169,1271
